Team_ID,Pitcher_Name,Max_Pitch_Speed
03556285-bdbb-4576-a06d-42f71f46ddc5,Brian Ellington,101
12079497-e414-450a-8bf2-29f91de646bf,Mauricio Cabrera,103
1d678440-b4b1-4954-9b39-70afb3ebbcfa,James Happ,910
2142e1ba-3b40-445c-b8bb-f1f8b1054220,Luis Garcia,99
25507be1-6a68-4267-bd82-e097d94b359b,Enrique Burgos,99
27a59d3b-ff7c-48ea-b016-4798f560f5e1,John Axford,99
29dd9a87-5bcc-4774-80c3-7f50d985068b,Carlos Estevez,100
3bbb3b39-b5cb-4fc9-bd22-522521f0f329,Maxwell Scherzer,98
43a39081-52b4-4f93-ad29-da7f329ea960,Edwin Diaz,102
44671792-dc02-4fdd-a5ad-f5f17edaa9d7,Carlos Martinez,101
47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,Carlos Rodon,100
481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,Arquimedes Caminero,102
4f735188-37c8-473d-ae32-1f7e34ccf892,Juan Ramirez,100
55714da8-fcaf-4574-8443-59bfb511a524,Albertin Chapman,104
575c19b7-4052-41c2-9f0a-1c5813d02f99,Bruce Rondon,101
75729d34-bca7-4a0f-b3df-6f26c6ad3719,Zachary Britton,99
80715d0d-0d2a-450f-a970-1b9a3b18c7e7,Andrew Miller,99
833a51a9-0d84-410f-bd77-da08c3e5e26e,Yordano Ventura,101
93941372-eb4c-4c40-aced-fe3267174393,Joseph Kelly,101
a09ec676-f887-43dc-bbb3-cf4bbaee9a18,Albertin Chapman,105
a7723160-10b7-4277-a309-d8dd95a8ae65,Hunter Strickland,100
aa34e0ed-f342-4ec6-b774-c79b47b60e2d,Thomas Pressly,99
bdc11650-6f74-49c4-875e-778aeb7632d9,Enny Romero,99
c874a065-c115-4e7d-b0f0-235584fb0e6f,Michael Lorenzen,99
d52d5339-cbdd-43f3-9dfa-a42fd588b9a3,Jose Dominguez,100
d89bed32-3aee-4407-99e3-4103641b999a,Blake Treinen,99
d99f919b-1534-4516-8e8a-9cd106c6d8cd,Matthew Bush,101
dcfd5266-00ce-442c-bc09-264cd20cf455,Wily Peralta,99
dd59d49e-caee-4443-9220-f05d0d9bd1e1,Dellin Betances,100
eb21dadd-8f10-4095-8bf3-dfb3b779f107,Kenneth Giles,101
ef64da7f-cfaf-4300-87b0-9313386b977c,Pedro Baez,100
f246a5e5-afdb-479c-9aaa-c68beeda7af6,Noah Syndergaard,101
